time	running	running_idle	waiting_for_reconf
803	22	21	0
804	22	21	0
805	24	19	0
806	23	20	0
807	22	21	0
808	22	21	0
809	22	21	0
810	23	20	0
811	22	21	0
812	23	20	0
813	23	20	0
814	23	20	0
815	24	19	0
816	24	19	0
817	26	17	0
818	28	15	0
819	27	16	0
820	26	17	0
821	26	17	0
822	26	17	0
823	25	18	0
824	26	17	0
825	26	17	0
826	26	17	0
827	26	17	0
828	25	18	0
829	25	18	0
830	24	19	0
831	24	19	0
832	24	19	0
833	24	19	0
834	24	19	0
835	24	19	0
836	24	19	0
837	24	19	0
838	24	19	0
839	24	19	0
840	24	19	0
841	24	19	0
842	22	21	0
843	23	20	0
844	23	20	0
845	23	20	0
846	23	20	0
847	22	21	0
848	22	21	0
849	22	21	0
850	23	20	0
851	24	19	0
852	24	19	0
853	24	19	0
854	24	19	0
855	24	19	0
856	24	19	0
857	23	20	0
858	23	20	0
859	24	19	0
860	24	19	0
861	23	20	0
862	23	20	0
863	22	21	0
864	22	21	0
865	22	21	0
866	22	21	0
867	20	23	0
868	20	23	0
869	20	23	0
870	22	21	0
871	21	22	0
872	21	22	0
873	21	22	0
874	21	22	0
875	21	22	0
876	20	23	0
877	20	23	0
878	20	23	0
879	20	23	0
880	20	23	0
881	20	23	0
882	20	23	0
883	22	21	0
884	22	21	0
885	23	20	0
886	22	21	0
887	21	22	0
888	21	22	0
889	22	21	0
890	22	21	0
891	22	21	0
892	20	23	0
893	19	24	0
894	19	24	0
895	19	24	0
896	21	22	0
897	21	22	0
898	21	22	0
899	20	23	0
900	20	23	0
901	20	23	0
902	20	23	0
903	21	22	0
904	20	23	0
905	20	23	0
906	20	23	0
907	20	23	0
908	20	23	0
909	22	21	0
910	22	21	0
911	22	21	0
912	22	21	0
913	22	21	0
914	22	21	0
915	21	22	0
916	21	22	0
917	21	22	0
918	21	22	0
919	21	22	0
920	21	22	0
921	20	23	0
922	23	20	0
923	23	20	0
924	24	19	0
925	24	19	0
926	24	19	0
927	24	19	0
928	25	18	0
929	24	19	0
930	25	18	0
931	24	19	0
932	24	19	0
933	24	19	0
934	24	19	0
935	25	18	0
936	23	20	0
937	23	20	0
938	23	20	0
939	23	20	0
940	22	21	0
941	22	21	0
942	23	20	0
943	23	20	0
944	20	23	0
945	20	23	0
946	21	22	0
947	21	22	0
948	24	19	0
949	24	19	0
950	24	19	0
951	24	19	0
952	24	19	0
953	24	19	0
954	25	18	0
955	26	17	0
956	25	18	0
957	25	18	0
958	25	18	0
959	24	19	0
960	24	19	0
961	27	16	0
962	27	16	0
963	27	16	0
964	27	16	0
965	27	16	0
966	26	17	0
967	26	17	0
968	27	16	0
969	28	15	0
970	28	15	0
971	28	15	0
972	27	16	0
973	27	16	0
974	27	16	0
975	26	17	0
976	25	18	0
977	25	18	0
978	25	18	0
979	24	19	0
980	25	18	0
981	25	18	0
982	26	17	0
983	26	17	0
984	26	17	0
985	24	19	0
986	24	19	0
987	25	18	0
988	25	18	0
989	25	18	0
990	25	18	0
991	25	18	0
992	24	19	0
993	24	19	0
994	24	19	0
995	23	20	0
996	23	20	0
997	22	21	0
998	22	21	0
999	22	21	0
1000	23	20	0
1001	25	18	0
1002	23	20	0
1003	23	20	0
1004	23	20	0
1005	21	22	0
1006	21	22	0
1007	21	22	0
1008	21	22	0
1009	21	22	0
1010	21	22	0
1011	21	22	0
1012	21	22	0
1013	21	22	0
1014	21	22	0
1015	24	19	0
1016	23	20	0
1017	22	21	0
1018	21	22	0
1019	21	22	0
1020	22	21	0
1021	22	21	0
1022	22	21	0
1023	21	22	0
1024	21	22	0
1025	21	22	0
1026	21	22	0
1027	21	22	0
1028	21	22	0
1029	22	21	0
1030	21	22	0
1031	21	22	0
1032	22	21	0
1033	21	22	0
1034	21	22	0
1035	21	22	0
1036	21	22	0
1037	21	22	0
1038	20	23	0
1039	20	23	0
1040	19	24	0
1041	21	22	0
1042	22	21	0
1043	22	21	0
1044	22	21	0
1045	22	21	0
1046	22	21	0
1047	22	21	0
1048	22	21	0
1049	22	21	0
1050	21	22	0
1051	20	23	0
1052	20	23	0
1053	18	25	0
1054	20	23	0
1055	21	22	0
1056	21	22	0
1057	21	22	0
1058	22	21	0
1059	22	21	0
1060	22	21	0
1061	22	21	0
1062	22	21	0
1063	21	22	0
1064	21	22	0
1065	21	22	0
1066	21	22	0
1067	22	21	0
1068	22	21	0
1069	21	22	0
1070	21	22	0
1071	21	22	0
1072	21	22	0
1073	20	23	0
1074	20	23	0
1075	19	24	0
1076	19	24	0
1077	19	24	0
1078	19	24	0
1079	19	24	0
1080	21	22	0
1081	21	22	0
1082	20	23	0
1083	20	23	0
1084	20	23	0
1085	21	22	0
1086	22	21	0
1087	22	21	0
1088	22	21	0
1089	22	21	0
1090	22	21	0
1091	21	22	0
1092	21	22	0
1093	24	19	0
1094	24	19	0
1095	24	19	0
1096	24	19	0
1097	24	19	0
1098	24	19	0
1099	24	19	0
1100	24	19	0
1101	22	21	0
1102	21	22	0
1103	23	20	0
1104	21	22	0
1105	21	22	0
1106	22	21	0
1107	22	21	0
1108	22	21	0
1109	22	21	0
1110	22	21	0
1111	23	20	0
1112	24	19	0
1113	24	19	0
1114	24	19	0
1115	24	19	0
1116	24	19	0
1117	24	19	0
1118	22	21	0
1119	23	20	0
1120	22	21	0
1121	21	22	0
1122	21	22	0
1123	21	22	0
1124	22	21	0
1125	22	21	0
1126	22	21	0
1127	22	21	0
1128	22	21	0
1129	22	21	0
1130	22	21	0
1131	22	21	0
1132	23	20	0
1133	24	19	0
1134	24	19	0
1135	24	19	0
1136	24	19	0
1137	24	19	0
1138	23	20	0
1139	23	20	0
1140	23	20	0
1141	23	20	0
1142	23	20	0
1143	19	24	0
1144	19	24	0
1145	21	22	0
1146	21	22	0
1147	21	22	0
1148	20	23	0
1149	20	23	0
1150	19	24	0
1151	19	24	0
1152	19	24	0
1153	19	24	0
1154	19	24	0
1155	19	24	0
1156	19	24	0
1157	19	24	0
1158	20	23	0
1159	21	22	0
1160	21	22	0
1161	21	22	0
1162	21	22	0
1163	21	22	0
1164	21	22	0
1165	20	23	0
1166	20	23	0
1167	19	24	0
1168	18	25	0
1169	18	25	0
1170	18	25	0
1171	20	23	0
1172	20	23	0
1173	19	24	0
1174	20	23	0
1175	20	23	0
1176	21	22	0
1177	21	22	0
1178	20	23	0
1179	19	24	0
1180	18	25	0
1181	18	25	0
1182	18	25	0
1183	18	25	0
1184	19	24	0
1185	19	24	0
1186	17	26	0
1187	17	26	0
1188	17	26	0
1189	18	25	0
1190	19	24	0
1191	19	24	0
1192	18	25	0
1193	18	25	0
1194	18	25	0
1195	18	25	0
1196	18	25	0
1197	20	23	0
1198	21	22	0
1199	21	22	0
1200	21	22	0
1201	21	22	0
1202	20	23	0
1203	21	22	0
1204	21	22	0
1205	21	22	0
1206	22	21	0
1207	20	23	0
1208	20	23	0
1209	20	23	0
1210	19	24	0
1211	21	22	0
1212	21	22	0
1213	21	22	0
1214	21	22	0
1215	22	21	0
1216	23	20	0
1217	23	20	0
1218	23	20	0
1219	23	20	0
1220	23	20	0
1221	23	20	0
1222	22	21	0
1223	22	21	0
1224	26	17	0
1225	25	18	0
1226	25	18	0
1227	24	19	0
1228	23	20	0
1229	22	21	0
1230	23	20	0
1231	23	20	0
1232	23	20	0
1233	23	20	0
1234	23	20	0
1235	23	20	0
1236	26	17	0
1237	25	18	0
1238	24	19	0
1239	24	19	0
1240	25	18	0
1241	26	17	0
1242	26	17	0
1243	26	17	0
1244	26	17	0
1245	26	17	0
1246	25	18	0
1247	25	18	0
1248	25	18	0
1249	25	18	0
1250	25	18	0
1251	25	18	0
1252	25	18	0
1253	26	17	0
1254	26	17	0
1255	26	17	0
1256	27	16	0
1257	27	16	0
1258	27	16	0
1259	27	16	0
1260	26	17	0
1261	24	19	0
1262	25	18	0
1263	28	15	0
1264	28	15	0
1265	28	15	0
1266	29	14	0
1267	29	14	0
1268	29	14	0
1269	29	14	0
1270	28	15	0
1271	28	15	0
1272	27	16	0
1273	26	17	0
1274	26	17	0
1275	28	15	0
1276	28	15	0
1277	30	13	0
1278	30	13	0
1279	30	13	0
1280	29	14	0
1281	29	14	0
1282	29	14	0
1283	28	15	0
1284	28	15	0
1285	28	15	0
1286	27	16	0
1287	27	16	0
1288	27	16	0
1289	28	15	0
1290	29	14	0
1291	29	14	0
1292	29	14	0
1293	30	13	0
1294	30	13	0
1295	28	15	0
1296	28	15	0
1297	28	15	0
1298	27	16	0
1299	27	16	0
1300	27	16	0
1301	27	16	0
1302	27	16	0
1303	29	14	0
1304	29	14	0
1305	29	14	0
1306	29	14	0
1307	29	14	0
1308	28	15	0
1309	28	15	0
1310	28	15	0
1311	27	16	0
1312	27	16	0
1313	26	17	0
1314	29	14	0
1315	27	16	0
1316	30	13	0
1317	30	13	0
1318	29	14	0
1319	29	14	0
1320	29	14	0
1321	29	14	0
1322	29	14	0
1323	29	14	0
1324	28	15	0
1325	27	16	0
1326	28	15	0
1327	27	16	0
1328	29	14	0
1329	28	15	0
1330	29	14	0
1331	29	14	0
1332	29	14	0
1333	29	14	0
1334	28	15	0
1335	28	15	0
1336	28	15	0
1337	28	15	0
1338	28	15	0
1339	28	15	0
1340	28	15	0
1341	30	13	0
1342	30	13	0
1343	28	15	0
1344	28	15	0
1345	27	16	0
1346	27	16	0
1347	27	16	0
1348	27	16	0
1349	26	17	0
1350	25	18	0
1351	25	18	0
1352	26	17	0
1353	25	18	0
1354	26	17	0
1355	26	17	0
1356	26	17	0
1357	26	17	0
1358	26	17	0
1359	26	17	0
1360	25	18	0
1361	25	18	0
1362	24	19	0
1363	24	19	0
1364	24	19	0
1365	24	19	0
1366	24	19	0
1367	27	16	0
1368	27	16	0
1369	26	17	0
1370	26	17	0
1371	26	17	0
1372	26	17	0
1373	26	17	0
1374	25	18	0
1375	25	18	0
1376	26	17	0
1377	27	16	0
1378	25	18	0
1379	25	18	0
1380	26	17	0
1381	26	17	0
1382	28	15	0
1383	28	15	0
1384	28	15	0
1385	27	16	0
1386	27	16	0
1387	26	17	0
1388	25	18	0
1389	26	17	0
1390	26	17	0
1391	26	17	0
1392	25	18	0
1393	26	17	0
1394	26	17	0
1395	27	16	0
1396	27	16	0
1397	27	16	0
1398	28	15	0
1399	27	16	0
1400	26	17	0
1401	26	17	0
1402	26	17	0
1403	26	17	0
1404	26	17	0
1405	26	17	0
1406	28	15	0
1407	28	15	0
1408	29	14	0
1409	29	14	0
1410	27	16	0
1411	27	16	0
1412	27	16	0
1413	27	16	0
1414	27	16	0
1415	28	15	0
1416	26	17	0
1417	26	17	0
1418	26	17	0
1419	28	15	0
1420	28	15	0
1421	28	15	0
1422	28	15	0
1423	28	15	0
1424	29	14	0
1425	28	15	0
1426	28	15	0
1427	28	15	0
1428	28	15	0
1429	28	15	0
1430	26	17	0
1431	26	17	0
1432	28	15	0
1433	28	15	0
1434	29	14	0
1435	28	15	0
1436	28	15	0
1437	28	15	0
1438	27	16	0
1439	27	16	0
1440	27	16	0
1441	27	16	0
1442	27	16	0
1443	27	16	0
1444	26	17	0
1445	26	17	0
1446	26	17	0
1447	26	17	0
1448	27	16	0
1449	27	16	0
1450	26	17	0
1451	27	16	0
1452	26	17	0
1453	26	17	0
1454	27	16	0
1455	26	17	0
1456	26	17	0
1457	26	17	0
1458	29	14	0
1459	28	15	0
1460	28	15	0
1461	29	14	0
1462	29	14	0
1463	29	14	0
1464	28	15	0
1465	27	16	0
1466	26	17	0
1467	26	17	0
1468	26	17	0
1469	26	17	0
1470	26	17	0
1471	26	17	0
1472	27	16	0
1473	27	16	0
1474	28	15	0
1475	28	15	0
1476	27	16	0
1477	27	16	0
1478	27	16	0
1479	26	17	0
1480	26	17	0
1481	26	17	0
1482	26	17	0
1483	26	17	0
1484	25	18	0
1485	26	17	0
1486	28	15	0
1487	27	16	0
1488	28	15	0
1489	28	15	0
1490	27	16	0
1491	27	16	0
1492	27	16	0
1493	27	16	0
1494	27	16	0
1495	27	16	0
1496	26	17	0
1497	25	18	0
1498	25	18	0
1499	27	16	0
1500	27	16	0
1501	27	16	0
1502	26	17	0
1503	26	17	0
